Produit,Flux,Date,Montant
ANIMAUX VIVANTS,Exportations,2010-01-01,11533890.0
VIANDES ET ABATS COMESTIBLES,Exportations,2010-01-01,19418579.0
"POISSONS ET CRUSTACES, MOLLUSQUES ET AUTRES INVERTEBRES AQUATIQUES",Exportations,2010-01-01,8254504687.0
LAIT; OEUFS D'OISEAUX; MIEL; PRODUITS COMESTIBLES D'ANIMAUX N.D.C.A.,Exportations,2010-01-01,388082944.0
"AUTRES PRODUITS D'ORIGINE ANIMALE, NON DENOMMES NI COMPRIS AILLEURS",Exportations,2010-01-01,
PLANTES VIVANTES ET PRODUITS DE LA FLORICULTURE,Exportations,2010-01-01,1107911.0
"LEGUMES, PLANTES, RACINES ET TUBERCULES ALIMENTAIRES",Exportations,2010-01-01,2429199291.0
FRUITS COMESTIBLES; ECORCES D'AGRUMES OU DE MELONS,Exportations,2010-01-01,43666099.0
"CAFE, THE, MATE ET EPICES",Exportations,2010-01-01,1480516.0
CEREALES,Exportations,2010-01-01,860421007.0
PRODUITS DE LA MINOTERIE;MALT;AMIDONS ET FECULES;INULINE;GLUTEN DE FROMENT,Exportations,2010-01-01,102288793.0
"OLEAGINEUX; GRAINES, SEMENCES; PLANTES INDUSTRIELLES, MEDICINALES; PAILLES",Exportations,2010-01-01,465393150.0
"GOMMES, RESINES ET AUTRES SUCS ET EXTRAITS VEGETAUX",Exportations,2010-01-01,49374131.0
MATIERES A TRESSER ET AUTRES PRODUITS D'ORIGINE VEGETALE N.D.C.A.,Exportations,2010-01-01,
"GRAISSES, HUILES, CIRES (ANIMALES ET VEGETALES); GRAISSES ALIMENTAIRES",Exportations,2010-01-01,27874036.0
"PREPARATIONS DE VIANDES, POISSONS, CRUSTACES, MOLLUSQUES",Exportations,2010-01-01,56888179.0
SUCRES ET SUCRERIES,Exportations,2010-01-01,90258216.0
CACAO ET SES PREPARATIONS,Exportations,2010-01-01,198347378.0
PREPARATIONS A BASE DE CEREALES ET DERIVES; PATISSERIES,Exportations,2010-01-01,571159669.0
"PREPARATIONS DE LEGUMES, DE FRUITS OU D'AUTRES PARTIES DE PLANTES",Exportations,2010-01-01,31181143.0
PREPARATIONS ALIMENTAIRES DIVERSES,Exportations,2010-01-01,1354037748.0
"BOISSONS, LIQUIDES ALCOOLIQUES ET VINAIGRES",Exportations,2010-01-01,163077368.0
"RESIDUS,DECHETS DES INDUSTRIES ALIMENTAIRES;ALIMENTS PREPARES POUR ANIMAUX",Exportations,2010-01-01,371183258.0
TABACS ET SUCCEDANES DE TABACS FABRIQUES,Exportations,2010-01-01,2411529387.0
"SEL; SOUFRE; TERRES ET PIERRES; PLATRES, CHAUX ET CIMENTS",Exportations,2010-01-01,9694949333.0
"MINERAIS, SCORIES ET CENDRES",Exportations,2010-01-01,
"COMBUSTIBLES MINERAUX; HUILES, CIRES MINERALES; MATIERES BITUMINEUSES",Exportations,2010-01-01,16750691870.0
PRODUITS CHIMIQUES INORGANIQUES; COMPOSES DE METAUX OU RADIOACTIFS,Exportations,2010-01-01,6197621378.0
PRODUITS CHIMIQUES ORGANIQUES,Exportations,2010-01-01,160806767.0
PRODUITS PHARMACEUTIQUES,Exportations,2010-01-01,418319499.0
ENGRAIS,Exportations,2010-01-01,
EXTRAITS TANNANTS OU TINCTORIAUX;TANINS;COLORANTS;VERNIS;MASTICS;ENCRES,Exportations,2010-01-01,121431766.0
"HUILLES ESSENTIELLES, RESINOIDES; PRODUITS DE PARFURMERIE; COSMETIQUES",Exportations,2010-01-01,1941281580.0
