 Année         Flux      Montant
  2010 Exportations 1.103366e+12
  2010 Importations 2.362266e+12
  2011 Exportations 1.269608e+12
  2011 Importations 2.743194e+12
  2012 Exportations 1.392428e+12
  2012 Importations 3.271774e+12
  2013 Exportations 1.391870e+12
  2013 Importations 3.247821e+12
  2014 Exportations 1.431542e+12
  2014 Importations 3.239163e+12
  2015 Exportations 1.613963e+12
  2015 Importations 3.326090e+12
  2016 Exportations 1.623419e+12
  2016 Importations 3.230183e+12
  2017 Exportations 1.813602e+12
  2017 Importations 3.920374e+12
  2018 Exportations 2.088516e+12
  2018 Importations 4.500020e+12
  2019 Exportations 2.518797e+12
  2019 Importations 4.784186e+12
  2020 Exportations 2.337012e+12
  2020 Importations 4.508809e+12
  2021 Exportations 2.944557e+12
  2021 Importations 5.390162e+12
  2022 Exportations 1.091744e+12
  2022 Importations 2.085942e+12
